id,latitude,longitude,heading,route_id,predictable,seconds_since_report,run_id,time,time_adjusted
8299,34.029354,-118.388031,45.0,33,True,78,33_589_0,2022-02-22 10:23:13,2022-02-22 10:21:55
4172,34.047173,-118.346664,260.0,33,True,78,33_575_1,2022-02-22 10:23:13,2022-02-22 10:21:55
4151,34.037739,-118.270027,285.0,33,True,104,33_575_1,2022-02-22 10:23:13,2022-02-22 10:21:29
8116,34.04269,-118.247803,-4.0,33,False,130,nan,2022-02-22 10:23:13,2022-02-22 10:21:03
8312,33.993851,-118.452927,59.0,33,True,182,33_589_0,2022-02-22 10:23:13,2022-02-22 10:20:11
8136,34.012413,-118.494164,120.0,33,True,156,33_589_0,2022-02-22 10:23:13,2022-02-22 10:20:37
8114,34.020058,-118.404419,56.0,33,True,26,33_593_0,2022-02-22 10:23:13,2022-02-22 10:22:47
4079,34.045906,-118.34584,75.0,33,True,78,33_593_0,2022-02-22 10:23:13,2022-02-22 10:21:55
8159,34.058723,-118.229942,-4.0,33,False,182,nan,2022-02-22 10:23:13,2022-02-22 10:20:11
4191,34.0430179,-118.247932,216.0,33,True,287,33_574_1,2022-02-22 10:23:13,2022-02-22 10:18:26
8274,33.992779,-118.474663,135.0,33,False,235,nan,2022-02-22 10:23:13,2022-02-22 10:19:18
4093,34.002789,-118.435555,225.0,33,True,52,33_574_1,2022-02-22 10:23:13,2022-02-22 10:22:21
8146,34.057018,-118.231216,276.0,33,True,52,33_575_1,2022-02-22 10:23:13,2022-02-22 10:22:21
8303,34.043652,-118.300514,75.0,33,True,26,33_589_0,2022-02-22 10:23:13,2022-02-22 10:22:47
8106,33.987415,-118.466042,255.0,33,True,208,33_575_1,2022-02-22 10:23:13,2022-02-22 10:19:45
8269,34.040241,-118.25705,45.0,33,True,182,33_589_0,2022-02-22 10:23:13,2022-02-22 10:20:11
8140,34.020359,-118.40435,225.0,33,True,130,33_575_1,2022-02-22 10:23:13,2022-02-22 10:21:03
3984,34.035786,-118.377213,236.0,33,True,78,33_574_1,2022-02-22 10:23:13,2022-02-22 10:21:55
3985,34.050114,-118.247345,-4.0,33,False,183,nan,2022-02-22 10:23:13,2022-02-22 10:20:10
3944,33.994041,-118.476006,220.0,33,True,261,33_593_0,2022-02-22 10:23:13,2022-02-22 10:18:52
3967,34.041397,-118.279007,105.0,33,True,52,33_593_0,2022-02-22 10:23:13,2022-02-22 10:22:21
8299,34.030918,-118.385307,56.0,33,True,14,33_589_0,2022-02-22 10:23:23,2022-02-22 10:23:09
4172,34.047173,-118.346664,260.0,33,True,92,33_575_1,2022-02-22 10:23:23,2022-02-22 10:21:51
4151,34.037739,-118.270027,285.0,33,True,118,33_575_1,2022-02-22 10:23:23,2022-02-22 10:21:25
8116,34.04269,-118.247803,-4.0,33,False,144,nan,2022-02-22 10:23:23,2022-02-22 10:20:59
8312,34.001358,-118.43811,59.0,33,True,14,33_589_0,2022-02-22 10:23:23,2022-02-22 10:23:09
8136,34.012413,-118.494164,120.0,33,True,170,33_589_0,2022-02-22 10:23:23,2022-02-22 10:20:33
8114,34.020058,-118.404419,56.0,33,True,40,33_593_0,2022-02-22 10:23:23,2022-02-22 10:22:43
4079,34.045906,-118.34584,75.0,33,True,92,33_593_0,2022-02-22 10:23:23,2022-02-22 10:21:51
8159,34.057621,-118.230927,21.0,33,True,14,33_575_1,2022-02-22 10:23:23,2022-02-22 10:23:09
8274,33.992779,-118.474663,135.0,33,False,248,nan,2022-02-22 10:23:23,2022-02-22 10:19:15
4093,34.002789,-118.435555,225.0,33,True,66,33_574_1,2022-02-22 10:23:23,2022-02-22 10:22:17
8146,34.057018,-118.231216,276.0,33,True,66,33_575_1,2022-02-22 10:23:23,2022-02-22 10:22:17
8303,34.043652,-118.300514,75.0,33,True,40,33_589_0,2022-02-22 10:23:23,2022-02-22 10:22:43
8106,33.987415,-118.466042,255.0,33,True,222,33_575_1,2022-02-22 10:23:23,2022-02-22 10:19:41
8269,34.045029,-118.25013,30.0,33,True,14,33_589_0,2022-02-22 10:23:23,2022-02-22 10:23:09
8140,34.020359,-118.40435,225.0,33,True,144,33_575_1,2022-02-22 10:23:23,2022-02-22 10:20:59
3984,34.035786,-118.377213,236.0,33,True,92,33_574_1,2022-02-22 10:23:23,2022-02-22 10:21:51
3985,34.0487139,-118.24633,75.0,33,False,14,nan,2022-02-22 10:23:23,2022-02-22 10:23:09
3944,33.994041,-118.476006,220.0,33,True,274,33_593_0,2022-02-22 10:23:23,2022-02-22 10:18:49
3967,34.041397,-118.279007,105.0,33,True,66,33_593_0,2022-02-22 10:23:23,2022-02-22 10:22:17
8299,34.030918,-118.385307,56.0,33,True,21,33_589_0,2022-02-22 10:23:33,2022-02-22 10:23:12
4172,34.047173,-118.346664,260.0,33,True,99,33_575_1,2022-02-22 10:23:33,2022-02-22 10:21:54
4151,34.037739,-118.270027,285.0,33,True,125,33_575_1,2022-02-22 10:23:33,2022-02-22 10:21:28
8116,34.04269,-118.247803,-4.0,33,False,151,nan,2022-02-22 10:23:33,2022-02-22 10:21:02
8312,34.001358,-118.43811,59.0,33,True,21,33_589_0,2022-02-22 10:23:33,2022-02-22 10:23:12
8136,34.012413,-118.494164,120.0,33,True,177,33_589_0,2022-02-22 10:23:33,2022-02-22 10:20:36
8114,34.020058,-118.404419,56.0,33,True,47,33_593_0,2022-02-22 10:23:33,2022-02-22 10:22:46
4079,34.045906,-118.34584,75.0,33,True,99,33_593_0,2022-02-22 10:23:33,2022-02-22 10:21:54
8159,34.057621,-118.230927,21.0,33,True,21,33_575_1,2022-02-22 10:23:33,2022-02-22 10:23:12
8274,33.992779,-118.474663,135.0,33,False,255,nan,2022-02-22 10:23:33,2022-02-22 10:19:18
4093,34.002789,-118.435555,225.0,33,True,73,33_574_1,2022-02-22 10:23:33,2022-02-22 10:22:20
8146,34.057018,-118.231216,276.0,33,True,73,33_575_1,2022-02-22 10:23:33,2022-02-22 10:22:20
8303,34.043652,-118.300514,75.0,33,True,47,33_589_0,2022-02-22 10:23:33,2022-02-22 10:22:46
8106,33.987415,-118.466042,255.0,33,True,229,33_575_1,2022-02-22 10:23:33,2022-02-22 10:19:44
8269,34.045029,-118.25013,30.0,33,True,21,33_589_0,2022-02-22 10:23:33,2022-02-22 10:23:12
8140,34.020359,-118.40435,225.0,33,True,151,33_575_1,2022-02-22 10:23:33,2022-02-22 10:21:02
3984,34.035786,-118.377213,236.0,33,True,99,33_574_1,2022-02-22 10:23:33,2022-02-22 10:21:54
3985,34.0487139,-118.24633,75.0,33,False,21,nan,2022-02-22 10:23:33,2022-02-22 10:23:12
3944,33.994041,-118.476006,220.0,33,True,281,33_593_0,2022-02-22 10:23:33,2022-02-22 10:18:52
3967,34.041397,-118.279007,105.0,33,True,73,33_593_0,2022-02-22 10:23:33,2022-02-22 10:22:20
8299,34.030918,-118.385307,56.0,33,True,34,33_589_0,2022-02-22 10:23:43,2022-02-22 10:23:09
4172,34.047173,-118.346664,260.0,33,True,112,33_575_1,2022-02-22 10:23:43,2022-02-22 10:21:51
4151,34.037739,-118.270027,285.0,33,True,138,33_575_1,2022-02-22 10:23:43,2022-02-22 10:21:25
8116,34.04269,-118.247803,-4.0,33,False,165,nan,2022-02-22 10:23:43,2022-02-22 10:20:58
8312,34.001358,-118.43811,59.0,33,True,34,33_589_0,2022-02-22 10:23:43,2022-02-22 10:23:09
8136,34.012413,-118.494164,120.0,33,True,191,33_589_0,2022-02-22 10:23:43,2022-02-22 10:20:32
8114,34.020058,-118.404419,56.0,33,True,60,33_593_0,2022-02-22 10:23:43,2022-02-22 10:22:43
4079,34.045906,-118.34584,75.0,33,True,112,33_593_0,2022-02-22 10:23:43,2022-02-22 10:21:51
8159,34.057621,-118.230927,21.0,33,True,34,33_575_1,2022-02-22 10:23:43,2022-02-22 10:23:09
8274,33.992779,-118.474663,135.0,33,False,269,nan,2022-02-22 10:23:43,2022-02-22 10:19:14
4093,34.002789,-118.435555,225.0,33,True,86,33_574_1,2022-02-22 10:23:43,2022-02-22 10:22:17
8146,34.057018,-118.231216,276.0,33,True,86,33_575_1,2022-02-22 10:23:43,2022-02-22 10:22:17
8303,34.043652,-118.300514,75.0,33,True,60,33_589_0,2022-02-22 10:23:43,2022-02-22 10:22:43
8106,33.987415,-118.466042,255.0,33,True,243,33_575_1,2022-02-22 10:23:43,2022-02-22 10:19:40
8269,34.045029,-118.25013,30.0,33,True,34,33_589_0,2022-02-22 10:23:43,2022-02-22 10:23:09
8140,34.020359,-118.40435,225.0,33,True,165,33_575_1,2022-02-22 10:23:43,2022-02-22 10:20:58
3984,34.035786,-118.377213,236.0,33,True,112,33_574_1,2022-02-22 10:23:43,2022-02-22 10:21:51
3985,34.0487139,-118.24633,75.0,33,False,34,nan,2022-02-22 10:23:43,2022-02-22 10:23:09
3944,33.994041,-118.476006,220.0,33,True,295,33_593_0,2022-02-22 10:23:43,2022-02-22 10:18:48
3967,34.041397,-118.279007,105.0,33,True,86,33_593_0,2022-02-22 10:23:43,2022-02-22 10:22:17
8299,34.030918,-118.385307,56.0,33,True,41,33_589_0,2022-02-22 10:23:54,2022-02-22 10:23:13
4172,34.047173,-118.346664,260.0,33,True,119,33_575_1,2022-02-22 10:23:54,2022-02-22 10:21:55
4151,34.037739,-118.270027,285.0,33,True,145,33_575_1,2022-02-22 10:23:54,2022-02-22 10:21:29
8116,34.04269,-118.247803,-4.0,33,False,172,nan,2022-02-22 10:23:54,2022-02-22 10:21:02
8312,34.001358,-118.43811,59.0,33,True,41,33_589_0,2022-02-22 10:23:54,2022-02-22 10:23:13
8136,34.012413,-118.494164,120.0,33,True,197,33_589_0,2022-02-22 10:23:54,2022-02-22 10:20:37
8114,34.020058,-118.404419,56.0,33,True,67,33_593_0,2022-02-22 10:23:54,2022-02-22 10:22:47
4079,34.045906,-118.34584,75.0,33,True,119,33_593_0,2022-02-22 10:23:54,2022-02-22 10:21:55
8159,34.057621,-118.230927,21.0,33,True,41,33_575_1,2022-02-22 10:23:54,2022-02-22 10:23:13
8274,33.992779,-118.474663,135.0,33,False,276,nan,2022-02-22 10:23:54,2022-02-22 10:19:18
4093,34.002789,-118.435555,225.0,33,True,93,33_574_1,2022-02-22 10:23:54,2022-02-22 10:22:21
8146,34.057018,-118.231216,276.0,33,True,93,33_575_1,2022-02-22 10:23:54,2022-02-22 10:22:21
8303,34.043652,-118.300514,75.0,33,True,67,33_589_0,2022-02-22 10:23:54,2022-02-22 10:22:47
8106,33.987415,-118.466042,255.0,33,True,250,33_575_1,2022-02-22 10:23:54,2022-02-22 10:19:44
8269,34.045029,-118.25013,30.0,33,True,41,33_589_0,2022-02-22 10:23:54,2022-02-22 10:23:13
8140,34.020359,-118.40435,225.0,33,True,172,33_575_1,2022-02-22 10:23:54,2022-02-22 10:21:02
3984,34.035786,-118.377213,236.0,33,True,119,33_574_1,2022-02-22 10:23:54,2022-02-22 10:21:55
3985,34.0487139,-118.24633,75.0,33,False,41,nan,2022-02-22 10:23:54,2022-02-22 10:23:13
3967,34.041397,-118.279007,105.0,33,True,93,33_593_0,2022-02-22 10:23:54,2022-02-22 10:22:21
8299,34.030918,-118.385307,56.0,33,True,55,33_589_0,2022-02-22 10:24:04,2022-02-22 10:23:09
4172,34.047173,-118.346664,260.0,33,True,133,33_575_1,2022-02-22 10:24:04,2022-02-22 10:21:51
