id,route_id,run_id,heading,predictable,longitude,latitude,seconds_since_report,time,time_adjusted
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,176,2021-11-22 11:35:55,2021-11-22 11:32:59
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,204,2021-11-22 11:35:55,2021-11-22 11:32:31
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,38,2021-11-22 11:35:55,2021-11-22 11:35:17
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,38,2021-11-22 11:35:55,2021-11-22 11:35:17
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,66,2021-11-22 11:35:55,2021-11-22 11:34:49
8163,2,2_1109_0,90.0,True,-118.331421,34.097881,38,2021-11-22 11:35:55,2021-11-22 11:35:17
8140,2,2_1111_0,75.0,True,-118.289856,34.098076,11,2021-11-22 11:35:55,2021-11-22 11:35:44
8109,2,2_1114_1,34.0,True,-118.262131,34.035706,204,2021-11-22 11:35:55,2021-11-22 11:32:31
8439,2,2_1109_0,210.0,True,-118.245247,34.0593829,10,2021-11-22 11:35:55,2021-11-22 11:35:45
4114,2,2_1109_0,90.0,True,-118.307068,34.098049,39,2021-11-22 11:35:55,2021-11-22 11:35:16
8514,2,2_1114_1,225.0,True,-118.413757,34.080421,66,2021-11-22 11:35:55,2021-11-22 11:34:49
8509,2,2_1114_1,270.0,True,-118.346397,34.098019,38,2021-11-22 11:35:55,2021-11-22 11:35:17
5648,2,2_1111_0,345.0,True,-118.438995,34.0776139,122,2021-11-22 11:35:55,2021-11-22 11:33:53
8508,2,2_1113_1,270.0,True,-118.329353,34.098019,94,2021-11-22 11:35:55,2021-11-22 11:34:21
6055,2,2_1113_1,210.0,True,-118.438995,34.070465,179,2021-11-22 11:36:05,2021-11-22 11:33:06
8133,2,2_1113_1,67.0,True,-118.276779,34.089661,207,2021-11-22 11:36:05,2021-11-22 11:32:38
8513,2,2_1114_1,255.0,True,-118.318115,34.098103,41,2021-11-22 11:36:05,2021-11-22 11:35:24
8139,2,2_1109_0,210.0,True,-118.256226,34.043983,42,2021-11-22 11:36:05,2021-11-22 11:35:23
8136,2,2_1113_1,225.0,True,-118.394875,34.089001,69,2021-11-22 11:36:05,2021-11-22 11:34:56
