,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,possibly_sensitive,entities.media,extended_entities.media,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.symbols,quoted_status.entities.user_mentions,quoted_status.entities.urls,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.user.entities.url.urls,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.possibly_sensitive,quoted_status.entities.media,quoted_status.extended_entities.media,quoted_status.place.id,quoted_status.place.url,quoted_status.place.place_type,quoted_status.place.name,quoted_status.place.full_name,quoted_status.place.country_code,quoted_status.place.country,quoted_status.place.contained_within,quoted_status.place.bounding_box.type,quoted_status.place.bounding_box.coordinates
0,Mon Nov 29 18:49:54 +0000 2021,1465392591176757251,1465392591176757251,@daytonward Does it take place on Omicron CetI III?,False,"[12, 51]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.4653727873721836e+18,1465372787372183553,19517815.0,19517815,daytonward,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'daytonward', 'name': 'Dayton Ward 🖖😎', 'id': 19517815, 'id_str': '19517815', 'indices': [0, 11]}]",[],en,recent,1099385906,1099385906,Paula M. Block,rockblocky,Not Los Angeles,"Writer/editor/journalist.Author (w/@tjerdmann): Art of STDisco; Labyrinth Visual History; Star Trek Costumes; ST 101; DS9 Companion, MORE!",,[],False,545,275,16,Thu Jan 17 21:59:50 +0000 2013,12471,,,False,False,8092,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1449429177522737157/_RpdF-85_normal.jpg,https://pbs.twimg.com/profile_images/1449429177522737157/_RpdF-85_normal.jpg,https://pbs.twimg.com/profile_banners/1099385906/1498710687,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon Nov 29 18:49:34 +0000 2021,1465392507827675141,1465392507827675141,@MeowLoverFish 看来Omicron是真的难顶。,False,"[15, 30]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.4653724246821765e+18,1465372424682176516,1.0749937544848302e+18,1074993754484830208,MeowLoverFish,,,,,False,0,0,False,False,zh,[],[],"[{'screen_name': 'MeowLoverFish', 'name': '饭条鱼', 'id': 1074993754484830208, 'id_str': '1074993754484830208', 'indices': [0, 14]}]",[],zh,recent,893300356918259715,893300356918259715,福斯天下第一,vwnumberone,"La Canada Flintridge, CA","Taos owner, request normal engine condition.
Taos车主，需要爱护。",https://t.co/iRAhr66Z9Q,[],False,110,361,2,Fri Aug 04 02:39:36 +0000 2017,5639,,,False,False,7336,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1434345211853950981/TNBinvcD_normal.jpg,https://pbs.twimg.com/profile_images/1434345211853950981/TNBinvcD_normal.jpg,https://pbs.twimg.com/profile_banners/893300356918259715/1635889795,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'https://t.co/iRAhr66Z9Q', 'expanded_url': 'http://www.pornhub.com', 'display_url': 'pornhub.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mon Nov 29 18:48:01 +0000 2021,1465392118713786371,1465392118713786371,"The recent discovery of the Omicron variant of the coronavirus has upended the outlook for a pandemic that was expected to get worse over the winter.

https://t.co/dPcU4ZbkW7",False,"[0, 174]","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,,,,,,,False,1,1,False,False,en,[],[],[],"[{'url': 'https://t.co/dPcU4ZbkW7', 'expanded_url': 'https://www.latimes.com/california/story/2021-11-29/threat-omicron-variant-coronavirus-what-we-know', 'display_url': 'latimes.com/california/sto…', 'indices': [151, 174]}]",en,recent,16664681,16664681,Los Angeles Times,latimes,"El Segundo, CA",Covering the world with a West Coast perspective. Subscribe now: https://t.co/6Kr8lqVIMd  Write to us: letters@latimes.com,https://t.co/WeffKZ2O0l,"[{'url': 'https://t.co/6Kr8lqVIMd', 'expanded_url': 'http://latimes.com/subscribe', 'display_url': 'latimes.com/subscribe', 'indices': [65, 88]}]",False,3833081,7080,34982,Thu Oct 09 11:07:42 +0000 2008,3164,,,True,True,394465,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1372216202819346434/v6Qz0D8h_normal.jpg,https://pbs.twimg.com/profile_images/1372216202819346434/v6Qz0D8h_normal.jpg,https://pbs.twimg.com/profile_banners/16664681/1609354452,009999,FFFFFF,EFEFEF,615F61,True,False,False,False,True,False,False,regular,[],"[{'url': 'https://t.co/WeffKZ2O0l', 'expanded_url': 'http://latimes.com', 'display_url': 'latimes.com', 'indices': [0, 23]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mon Nov 29 18:48:00 +0000 2021,1465392113760321542,1465392113760321542,"12 Things in Travel Today:

— Emirates Indefinitely Suspends Historic Tel Aviv Route Launch

— New Covid-19 variant: Etihad suspends Morocco flights

— First image of Omicron shows many more mutations than Delta

+ More
https://t.co/X7ImbXdzKv",False,"[0, 243]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,en,[],[],[],"[{'url': 'https://t.co/X7ImbXdzKv', 'expanded_url': 'https://bit.ly/3nH8QlT', 'display_url': 'bit.ly/3nH8QlT', 'indices': [220, 243]}]",en,recent,14264854,14264854,JohnnyJet,JohnnyJet,"Los Angeles, California","Named “the original travel Influencer” by Forbes. Sign up to my free travel deals, news and tips newsletter at https://t.co/449RPkRpIy",https://t.co/WdIGXneViD,"[{'url': 'https://t.co/449RPkRpIy', 'expanded_url': 'http://JohnnyJet.com/Newsletter', 'display_url': 'JohnnyJet.com/Newsletter', 'indices': [111, 134]}]",False,130215,620,2999,Mon Mar 31 10:04:13 +0000 2008,34624,,,True,True,89024,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1266791893666390016/OBccVCEa_normal.jpg,https://pbs.twimg.com/profile_images/1266791893666390016/OBccVCEa_normal.jpg,https://pbs.twimg.com/profile_banners/14264854/1486878748,0099B9,FFFFFF,95E8EC,3C3940,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/WdIGXneViD', 'expanded_url': 'http://www.JohnnyJet.com', 'display_url': 'JohnnyJet.com', 'indices': [0, 23]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mon Nov 29 18:47:00 +0000 2021,1465391862089404424,1465391862089404424,oMiCRoN = oWe Me ChRoN; oR oWe M i See R oN; iAM R &amp; M = #MoVie oRa #FRaUd ReP; iTz aLSo aBoUt #CaNNaBiS #BuSiNeSs iS wHY tHeY RePoRtiNG iT iN #NetHeRLaNds &amp; #AfRiCa CuZ iMMa wHiTe d00d wHo #ViBeS w/bLaCk PeePs &amp; #tReeZ PeoPLe #OG @RussellRope @ https://t.co/zhhmQCy0Mx 🌴🌍,False,"[0, 284]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.4653916963807724e+18,1465391696380772354,27105395.0,27105395,RussellRope,,,,,False,0,0,False,False,en,"[{'text': 'MoVie', 'indices': [61, 67]}, {'text': 'FRaUd', 'indices': [72, 78]}, {'text': 'CaNNaBiS', 'indices': [99, 108]}, {'text': 'BuSiNeSs', 'indices': [109, 118]}, {'text': 'NetHeRLaNds', 'indices': [147, 159]}, {'text': 'AfRiCa', 'indices': [166, 173]}, {'text': 'ViBeS', 'indices': [198, 204]}, {'text': 'tReeZ', 'indices': [225, 231]}, {'text': 'OG', 'indices': [239, 242]}]",[],"[{'screen_name': 'RussellRope', 'name': 'ℜ𝔲𝔰𝔰𝔢𝔩𝔩ℜ𝔬𝔭𝔢.𝔠𝔬𝔪', 'id': 27105395, 'id_str': '27105395', 'indices': [243, 255]}]","[{'url': 'https://t.co/zhhmQCy0Mx', 'expanded_url': 'https://russellrope.com/tag/weed-connection', 'display_url': 'russellrope.com/tag/weed-conne…', 'indices': [258, 281]}]",en,recent,27105395,27105395,ℜ𝔲𝔰𝔰𝔢𝔩𝔩ℜ𝔬𝔭𝔢.𝔠𝔬𝔪,RussellRope,"Hollywood, Los Angeles",Real Deal :: True OG = Original Genius :: Creator :: Entrepreneur :: Media | Marketing | Design | PR :: Revolutionary :: Ethical Hacker :: A&E :: Lifestyle,https://t.co/LF8gPpfZwS,[],False,2890,999,28,Fri Mar 27 21:44:07 +0000 2009,493,,,True,False,9039,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321655425809281025/4Tlq9hFZ_normal.jpg,https://pbs.twimg.com/profile_images/1321655425809281025/4Tlq9hFZ_normal.jpg,https://pbs.twimg.com/profile_banners/27105395/1603942232,149600,000000,252429,666666,True,True,False,False,False,False,False,none,[],"[{'url': 'https://t.co/LF8gPpfZwS', 'expanded_url': 'http://russellrope.com', 'display_url': 'russellrope.com', 'indices': [0, 23]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mon Nov 29 18:44:09 +0000 2021,1465391143940546565,1465391143940546565,Panorama informativo sobre Ómicron https://t.co/zca2YGQ9fw a través de @laedus,False,"[0, 78]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,es,[],[],"[{'screen_name': 'LAEDUS', 'name': 'LA Educación', 'id': 588279363, 'id_str': '588279363', 'indices': [71, 78]}]","[{'url': 'https://t.co/zca2YGQ9fw', 'expanded_url': 'https://laeducacion.us/panorama-informativo-sobre-omicron/', 'display_url': 'laeducacion.us/panorama-infor…', 'indices': [35, 58]}]",es,recent,94628410,94628410,paco mendoza,pacorromendoza,"Los Angeles, California",Periodista,http://t.co/VnJpEH6Vos,[],False,111,54,1,Fri Dec 04 19:58:24 +0000 2009,3,,,True,False,36851,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,DD2E44,000000,000000,000000,False,False,False,True,False,False,False,none,[],"[{'url': 'http://t.co/VnJpEH6Vos', 'expanded_url': 'http://www.laeducacion.us', 'display_url': 'laeducacion.us', 'indices': [0, 22]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mon Nov 29 18:43:00 +0000 2021,1465390856379142145,1465390856379142145,"It looks like Diane can make that trip to Israel but Chet will have to stay home!
 https://t.co/dtsoHbtG8w",False,"[0, 106]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,[],[],[],"[{'url': 'https://t.co/dtsoHbtG8w', 'expanded_url': 'https://www.newsweek.com/israel-bans-foreigners-except-beautiful-women-miss-universe-omicron-1653829?amp=1', 'display_url': 'newsweek.com/israel-bans-fo…', 'indices': [83, 106]}]",en,recent,1436753203459072005,1436753203459072005,Talkin' Sex Live with Chet and Diane,TalkinSexLive,"Los Angeles, CA","Talkin' Sex Live with Chet & Diane is a live-stream comedy podcast that promotes sex positivity, acceptance, and having healthy relationships through sex.",https://t.co/Bg32OdQy92,[],False,487,969,2,Sat Sep 11 18:07:58 +0000 2021,450,,,False,False,451,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1461344421090267152/6AH36XTv_normal.jpg,https://pbs.twimg.com/profile_images/1461344421090267152/6AH36XTv_normal.jpg,https://pbs.twimg.com/profile_banners/1436753203459072005/1632806154,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/Bg32OdQy92', 'expanded_url': 'https://open.spotify.com/show/6EtNt4pisHHx4T4JtLo1Pv', 'display_url': 'open.spotify.com/show/6EtNt4pis…', 'indices': [0, 23]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mon Nov 29 18:42:57 +0000 2021,1465390845201289218,1465390845201289218,"Despite some misreporting, there have been NO hospitalizations with the new variant at this point. Some are claiming only unvaccinated are being hospitalized and this is inaccurate reporting. No one so far has been and let’s hope it stays that way.  https://t.co/hDspcGwTJQ",False,"[0, 273]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,19,57,False,False,en,[],[],[],"[{'url': 'https://t.co/hDspcGwTJQ', 'expanded_url': 'https://www.bloomberg.com/news/articles/2021-11-28/omicron-pretty-mild-so-far-south-african-health-expert-says', 'display_url': 'bloomberg.com/news/articles/…', 'indices': [250, 273]}]",en,recent,1426227719470157827,1426227719470157827,Kim Iversen,KimIversenShow,"Los Angeles, CA","Political Talk Show Host - The Kim Iversen Show on YouTube, Rokfin, Rumble and Locals. Rising on The Hill. Populist, Independent Thinker. Question everything.",https://t.co/lZkwqFOhZD,[],False,26992,264,164,Fri Aug 13 17:02:44 +0000 2021,2152,,,False,True,1919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1447046712980238342/V5yN1STX_normal.jpg,https://pbs.twimg.com/profile_images/1447046712980238342/V5yN1STX_normal.jpg,https://pbs.twimg.com/profile_banners/1426227719470157827/1628875158,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/lZkwqFOhZD', 'expanded_url': 'http://kimiversenshow.com', 'display_url': 'kimiversenshow.com', 'indices': [0, 23]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mon Nov 29 18:42:27 +0000 2021,1465390718348759042,1465390718348759042,Omicron starting to feel like March 2020 Covid and i don’t like it,False,"[0, 66]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,[],[],[],[],en,recent,359778354,359778354,Brandon Andrews,brandrews_,"Los Angeles, CA",,,[],False,208,174,1,Mon Aug 22 04:38:17 +0000 2011,4671,,,True,False,1229,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1167608392300539910/H5Q4X0k0_normal.jpg,https://pbs.twimg.com/profile_images/1167608392300539910/H5Q4X0k0_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mon Nov 29 18:40:50 +0000 2021,1465390313241907204,1465390313241907204,@trvrb Especially since there were no delta cases at the time. Omicron hasn’t faced any pressure from delta or vaccines yet really.,False,"[7, 131]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.4653643009360855e+18,1465364300936085506,224896427.0,224896427,trvrb,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'trvrb', 'name': 'Trevor Bedford', 'id': 224896427, 'id_str': '224896427', 'indices': [0, 6]}]",[],en,recent,1376284074742927361,1376284074742927361,"Michael Daignault, MD",MichaelDaignau3,"Los Angeles, CA",Emergency physician | Medical news correspondent | @usatoday medical contributor,https://t.co/94uworEwJF,[],False,214,134,6,Sun Mar 28 21:24:40 +0000 2021,597,,,False,False,718,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1376284466809696256/adzcMWCW_normal.jpg,https://pbs.twimg.com/profile_images/1376284466809696256/adzcMWCW_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/94uworEwJF', 'expanded_url': 'https://youtu.be/-_qXWjRMQb8', 'display_url': 'youtu.be/-_qXWjRMQb8', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
